date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1986-05-31,Bulgaria,Italy,1,1,FIFA World Cup,Mexico City,Mexico,True
1986-05-31,Macau,Hong Kong,2,3,Friendly,Macau,Macau,False
1986-06-01,Canada,France,0,1,FIFA World Cup,León,Mexico,True
1986-06-01,Spain,Brazil,0,1,FIFA World Cup,Guadalajara,Mexico,True
1986-06-02,Argentina,Korea Republic,3,1,FIFA World Cup,Mexico City,Mexico,True
1986-06-02,Morocco,Poland,0,0,FIFA World Cup,Monterrey,Mexico,True
1986-06-02,Russia,Hungary,6,0,FIFA World Cup,Irapuato,Mexico,True
1986-06-03,Algeria,Northern Ireland,1,1,FIFA World Cup,Guadalajara,Mexico,True
1986-06-03,Djibouti,Ethiopia,0,2,Friendly,Djibouti,Djibouti,False
1986-06-03,Mexico,Belgium,2,1,FIFA World Cup,Mexico City,Mexico,False
1986-06-03,Portugal,England,1,0,FIFA World Cup,Monterrey,Mexico,True
1986-06-04,Nepal,Hong Kong,4,2,Friendly,Kathmandu,Nepal,False
1986-06-04,Paraguay,Iraq,1,0,FIFA World Cup,Toluca,Mexico,True
1986-06-04,Romania,Norway,3,1,Friendly,Bucharest,Romania,False
1986-06-04,Scotland,Denmark,0,1,FIFA World Cup,Nezahualcóyotl,Mexico,True
1986-06-04,Uruguay,Germany,1,1,FIFA World Cup,Querétaro,Mexico,True
1986-06-05,France,Russia,1,1,FIFA World Cup,León,Mexico,True
1986-06-05,Italy,Argentina,1,1,FIFA World Cup,Puebla,Mexico,True
1986-06-05,Korea Republic,Bulgaria,1,1,FIFA World Cup,Mexico City,Mexico,True
1986-06-06,Brazil,Algeria,1,0,FIFA World Cup,Guadalajara,Mexico,True
1986-06-06,England,Morocco,0,0,FIFA World Cup,Monterrey,Mexico,True
1986-06-06,Hungary,Canada,2,0,FIFA World Cup,Irapuato,Mexico,True
1986-06-06,Mauritius,Réunion,0,1,Friendly,Curepipe,Mauritius,False
1986-06-07,Mexico,Paraguay,1,1,FIFA World Cup,Mexico City,Mexico,False
1986-06-07,Nepal,Bhutan,4,0,Friendly,Kathmandu,Nepal,False
1986-06-07,Northern Ireland,Spain,1,2,FIFA World Cup,Guadalajara,Mexico,True
1986-06-07,Poland,Portugal,1,0,FIFA World Cup,Monterrey,Mexico,True
1986-06-08,Denmark,Uruguay,6,1,FIFA World Cup,Nezahualcóyotl,Mexico,True
1986-06-08,Germany,Scotland,2,1,FIFA World Cup,Querétaro,Mexico,True
1986-06-08,Iraq,Belgium,1,2,FIFA World Cup,Toluca,Mexico,True
1986-06-09,Hungary,France,0,3,FIFA World Cup,León,Mexico,True
1986-06-09,Russia,Canada,2,0,FIFA World Cup,Irapuato,Mexico,True
1986-06-10,Argentina,Bulgaria,2,0,FIFA World Cup,Mexico City,Mexico,True
1986-06-10,Korea Republic,Italy,2,3,FIFA World Cup,Puebla,Mexico,True
1986-06-11,England,Poland,3,0,FIFA World Cup,Monterrey,Mexico,True
1986-06-11,Guyana,Barbados,2,1,Friendly,Georgetown,Guyana,False
1986-06-11,Mexico,Iraq,1,0,FIFA World Cup,Mexico City,Mexico,False
1986-06-11,Paraguay,Belgium,2,2,FIFA World Cup,Toluca,Mexico,True
1986-06-11,Portugal,Morocco,1,3,FIFA World Cup,Guadalajara,Mexico,True
1986-06-12,Algeria,Spain,0,3,FIFA World Cup,Monterrey,Mexico,True
1986-06-12,Northern Ireland,Brazil,0,3,FIFA World Cup,Guadalajara,Mexico,True
1986-06-13,Denmark,Germany,2,0,FIFA World Cup,Querétaro,Mexico,True
1986-06-13,Réunion,Mauritius,0,0,Friendly,Saint-Pierre,Réunion,False
1986-06-13,Scotland,Uruguay,0,0,FIFA World Cup,Nezahualcóyotl,Mexico,True
1986-06-15,Mexico,Bulgaria,2,0,FIFA World Cup,Mexico City,Mexico,False
1986-06-15,Russia,Belgium,3,4,FIFA World Cup,León,Mexico,True
1986-06-16,Argentina,Uruguay,1,0,FIFA World Cup,Puebla,Mexico,True
1986-06-16,Brazil,Poland,4,0,FIFA World Cup,Guadalajara,Mexico,True
1986-06-17,Italy,France,0,2,FIFA World Cup,Mexico City,Mexico,True
1986-06-17,Morocco,Germany,0,1,FIFA World Cup,Monterrey,Mexico,True
1986-06-18,Denmark,Spain,1,5,FIFA World Cup,Querétaro,Mexico,True
1986-06-18,England,Paraguay,3,0,FIFA World Cup,Mexico City,Mexico,True
1986-06-21,Brazil,France,1,1,FIFA World Cup,Guadalajara,Mexico,True
1986-06-21,Malawi,Zambia,0,2,Friendly,Blantyre,Malawi,False
1986-06-21,Mexico,Germany,0,0,FIFA World Cup,Monterrey,Mexico,False
1986-06-22,Argentina,England,2,1,FIFA World Cup,Mexico City,Mexico,True
1986-06-22,Malawi,Zambia,0,1,Friendly,Lilongwe,Malawi,False
1986-06-22,Spain,Belgium,1,1,FIFA World Cup,Puebla,Mexico,True
1986-06-25,Argentina,Belgium,2,0,FIFA World Cup,Mexico City,Mexico,True
1986-06-25,France,Germany,0,2,FIFA World Cup,Guadalajara,Mexico,True
1986-06-28,France,Belgium,4,2,FIFA World Cup,Puebla,Mexico,True
1986-06-29,Argentina,Germany,3,2,FIFA World Cup,Mexico City,Mexico,True
