date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2006-07-15,Syria,Iraq,1,3,Friendly,Damascus,Syria,False
2006-07-15,Zambia,Zimbabwe,0,0,Friendly,Lusaka,Zambia,False
2006-07-17,Ethiopia,Yemen,1,0,Friendly,Addis Abeba,Ethiopia,False
2006-07-21,Jordan,Iraq,2,1,Friendly,Amman,Jordan,False
2006-07-22,Malawi,Zambia,1,3,COSAFA Cup,Windhoek,Namibia,True
2006-07-22,Namibia,Seychelles,1,1,COSAFA Cup,Windhoek,Namibia,False
2006-07-23,Namibia,Malawi,3,2,COSAFA Cup,Windhoek,Namibia,False
2006-07-23,Seychelles,Zambia,0,2,COSAFA Cup,Windhoek,Namibia,True
2006-07-25,Syria,Iraq,1,2,Friendly,Damascus,Syria,False
2006-07-26,Rwanda,Uganda,1,1,Friendly,Kigali,Rwanda,False
2006-07-28,Guyana,St. Lucia,3,2,Friendly,Linden,Guyana,False
2006-07-30,Guyana,St. Lucia,2,0,Friendly,Georgetown,Guyana,False
2006-07-30,Jordan,Syria,3,0,Friendly,Amman,Jordan,False
2006-07-30,Tanzania,Rwanda,1,0,Friendly,Dar es Salaam,Tanzania,False
2006-08-05,Syria,Libya,2,1,Friendly,Damascus,Syria,False
2006-08-05,Uganda,Botswana,0,0,Friendly,Kampala,Uganda,False
2006-08-08,Iran,United Arab Emirates,1,0,Friendly,Teheran,Iran,False
2006-08-09,Japan,Trinidad and Tobago,2,0,Friendly,Tokyo,Japan,False
2006-08-09,Jordan,Iraq,0,1,Friendly,Amman,Jordan,False
2006-08-09,Macau,Taiwan,0,1,Friendly,Macau,Macau,False
2006-08-09,Saudi Arabia,Bahrain,1,0,Friendly,Riyadh,Saudi Arabia,False
2006-08-11,Ethiopia,Kenya,1,0,Friendly,Addis Abeba,Ethiopia,False
2006-08-12,Hong Kong,Singapore,1,2,Friendly,Victoria,Hong Kong,False
2006-08-13,Ethiopia,Kenya,1,0,Friendly,Addis Abeba,Ethiopia,False
2006-08-15,Algeria,Gabon,0,2,Friendly,Aix-en-Provence,France,True
2006-08-15,Ghana,Togo,2,0,Friendly,Brentford,England,True
2006-08-15,Iceland,Spain,0,0,Friendly,Reykjavík,Iceland,False
2006-08-15,Slovakia,Malta,3,0,Friendly,Bratislava,Slovakia,False
2006-08-15,Slovenia,Israel,1,1,Friendly,Celje,Slovenia,False
2006-08-15,Ukraine,Azerbaijan,6,0,Friendly,Kyïv,Ukraine,False
2006-08-15,Wales,Bulgaria,0,0,Friendly,Swansea,Wales,False
2006-08-16,Australia,Kuwait,2,0,AFC Asian Cup qualification,Sydney,Australia,False
2006-08-16,Austria,Hungary,1,2,Friendly,Graz,Austria,False
2006-08-16,Bangladesh,Qatar,1,4,AFC Asian Cup qualification,Chittagong,Bangladesh,False
2006-08-16,Belarus,Andorra,3,0,Friendly,Minsk,Belarus,False
2006-08-16,Belgium,Kazakhstan,0,0,UEFA Euro qualification,Brussels,Belgium,False
2006-08-16,Bosnia-Herzegovina,France,1,2,Friendly,Sarajevo,Bosnia-Herzegovina,False
2006-08-16,Cameroon,Guinea,1,1,Friendly,Rouen,France,True
2006-08-16,Chile,Colombia,1,2,Friendly,Santiago,Chile,False
2006-08-16,China,Singapore,1,0,AFC Asian Cup qualification,Tianjin,China,False
2006-08-16,Czech Republic,Serbia,1,3,Friendly,Uherské Hradiště,Czech Republic,False
2006-08-16,Denmark,Poland,2,0,Friendly,Odense,Denmark,False
