date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1978-06-01,Germany,Poland,0,0,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-02,Argentina,Hungary,2,1,FIFA World Cup,Buenos Aires,Argentina,False
1978-06-02,France,Italy,1,2,FIFA World Cup,Mar del Plata,Argentina,True
1978-06-02,Mexico,Tunisia,1,3,FIFA World Cup,Rosario,Argentina,True
1978-06-03,Austria,Spain,2,1,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-03,Brazil,Sweden,1,1,FIFA World Cup,Mar del Plata,Argentina,True
1978-06-03,Iran,Netherlands,0,3,FIFA World Cup,Mendoza,Argentina,True
1978-06-03,Peru,Scotland,3,1,FIFA World Cup,Córdoba,Argentina,True
1978-06-06,Argentina,France,2,1,FIFA World Cup,Buenos Aires,Argentina,False
1978-06-06,Germany,Mexico,6,0,FIFA World Cup,Córdoba,Argentina,True
1978-06-06,Hungary,Italy,1,3,FIFA World Cup,Mar del Plata,Argentina,True
1978-06-06,Poland,Tunisia,1,0,FIFA World Cup,Rosario,Argentina,True
1978-06-07,Austria,Sweden,1,0,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-07,Brazil,Spain,0,0,FIFA World Cup,Mar del Plata,Argentina,True
1978-06-07,Iran,Scotland,1,1,FIFA World Cup,Córdoba,Argentina,True
1978-06-07,Netherlands,Peru,0,0,FIFA World Cup,Mendoza,Argentina,True
1978-06-10,Argentina,Italy,0,1,FIFA World Cup,Buenos Aires,Argentina,False
1978-06-10,France,Hungary,3,1,FIFA World Cup,Mar del Plata,Argentina,True
1978-06-10,Germany,Tunisia,0,0,FIFA World Cup,Córdoba,Argentina,True
1978-06-10,Mexico,Poland,1,3,FIFA World Cup,Rosario,Argentina,True
1978-06-11,Australia,Greece,1,2,Friendly,Melbourne,Australia,False
1978-06-11,Austria,Brazil,0,1,FIFA World Cup,Mar del Plata,Argentina,True
1978-06-11,Iran,Peru,1,4,FIFA World Cup,Córdoba,Argentina,True
1978-06-11,Macau,Hong Kong,0,4,Friendly,Macau,Macau,False
1978-06-11,Netherlands,Scotland,2,3,FIFA World Cup,Mendoza,Argentina,True
1978-06-11,Spain,Sweden,1,0,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-13,Indonesia,Malaysia,3,0,Indonesia Tournament,Jakarta,Indonesia,False
1978-06-14,Argentina,Poland,2,0,FIFA World Cup,Rosario,Argentina,False
1978-06-14,Australia,Greece,0,1,Friendly,Adelaide,Australia,False
1978-06-14,Austria,Netherlands,1,5,FIFA World Cup,Córdoba,Argentina,True
1978-06-14,Brazil,Peru,3,0,FIFA World Cup,Mendoza,Argentina,True
1978-06-14,Germany,Italy,0,0,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-15,Indonesia,Thailand,1,0,Indonesia Tournament,Jakarta,Indonesia,False
1978-06-16,Malaysia,Singapore,1,1,Indonesia Tournament,Jakarta,Indonesia,True
1978-06-17,Singapore,Thailand,1,3,Indonesia Tournament,Jakarta,Indonesia,True
1978-06-18,Argentina,Brazil,0,0,FIFA World Cup,Rosario,Argentina,False
1978-06-18,Austria,Italy,0,1,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-18,Germany,Netherlands,2,2,FIFA World Cup,Córdoba,Argentina,True
1978-06-18,Malawi,Zambia,1,2,Friendly,Blantyre,Malawi,False
1978-06-18,Peru,Poland,0,1,FIFA World Cup,Mendoza,Argentina,True
1978-06-21,Argentina,Peru,6,0,FIFA World Cup,Rosario,Argentina,False
1978-06-21,Austria,Germany,3,2,FIFA World Cup,Córdoba,Argentina,True
1978-06-21,Brazil,Poland,3,1,FIFA World Cup,Mendoza,Argentina,True
1978-06-21,Indonesia,Singapore,2,2,Indonesia Tournament,Jakarta,Indonesia,False
1978-06-21,Italy,Netherlands,1,2,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-21,Malaysia,Thailand,1,1,Indonesia Tournament,Jakarta,Indonesia,True
1978-06-23,Indonesia,Korea Republic,1,3,Indonesia Tournament,Jakarta,Indonesia,False
1978-06-23,Malaysia,Thailand,3,3,Indonesia Tournament,Jakarta,Indonesia,True
1978-06-24,Brazil,Italy,2,1,FIFA World Cup,Buenos Aires,Argentina,True
1978-06-25,Argentina,Netherlands,3,1,FIFA World Cup,Buenos Aires,Argentina,False
1978-06-25,Barbados,Curaçao,0,0,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
1978-06-25,Zambia,Malawi,0,0,Friendly,Lusaka,Zambia,False
