date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1994-06-17,Germany,Bolivia,1,0,FIFA World Cup,Chicago,USA,True
1994-06-17,Spain,Korea Republic,2,2,FIFA World Cup,Dallas,USA,True
1994-06-18,Colombia,Romania,1,3,FIFA World Cup,Pasadena,USA,True
1994-06-18,Italy,Ireland,0,1,FIFA World Cup,East Rutherford,USA,True
1994-06-18,USA,Switzerland,1,1,FIFA World Cup,Pontiac,USA,False
1994-06-19,Belgium,Morocco,1,0,FIFA World Cup,Orlando,USA,True
1994-06-19,Cameroon,Sweden,2,2,FIFA World Cup,Pasadena,USA,True
1994-06-19,Norway,Mexico,1,0,FIFA World Cup,Washington,USA,True
1994-06-20,Brazil,Russia,2,0,FIFA World Cup,Palo Alto,USA,True
1994-06-20,Netherlands,Saudi Arabia,2,1,FIFA World Cup,Washington,USA,True
1994-06-21,Argentina,Greece,4,0,FIFA World Cup,Foxborough,USA,True
1994-06-21,Germany,Spain,1,1,FIFA World Cup,Chicago,USA,True
1994-06-21,Nigeria,Bulgaria,3,0,FIFA World Cup,Dallas,USA,True
1994-06-22,Romania,Switzerland,1,4,FIFA World Cup,Pontiac,USA,True
1994-06-22,USA,Colombia,2,1,FIFA World Cup,Pasadena,USA,False
1994-06-23,Italy,Norway,1,0,FIFA World Cup,East Rutherford,USA,True
1994-06-23,Korea Republic,Bolivia,0,0,FIFA World Cup,Foxborough,USA,True
1994-06-24,Brazil,Cameroon,3,0,FIFA World Cup,Palo Alto,USA,True
1994-06-24,Mexico,Ireland,2,1,FIFA World Cup,Orlando,USA,True
1994-06-24,Sweden,Russia,3,1,FIFA World Cup,Pontiac,USA,True
1994-06-25,Argentina,Nigeria,2,1,FIFA World Cup,Foxborough,USA,True
1994-06-25,Belgium,Netherlands,1,0,FIFA World Cup,Orlando,USA,True
1994-06-25,Saudi Arabia,Morocco,2,1,FIFA World Cup,East Rutherford,USA,True
1994-06-26,Bulgaria,Greece,4,0,FIFA World Cup,Chicago,USA,True
1994-06-26,Latvia,Georgia,1,3,Friendly,Riga,Latvia,False
1994-06-26,Switzerland,Colombia,0,2,FIFA World Cup,Palo Alto,USA,True
1994-06-26,USA,Romania,0,1,FIFA World Cup,Pasadena,USA,False
1994-06-27,Bolivia,Spain,1,3,FIFA World Cup,Chicago,USA,True
1994-06-27,Germany,Korea Republic,3,2,FIFA World Cup,Dallas,USA,True
1994-06-28,Brazil,Sweden,1,1,FIFA World Cup,Pontiac,USA,True
1994-06-28,Ireland,Norway,0,0,FIFA World Cup,East Rutherford,USA,True
1994-06-28,Italy,Mexico,1,1,FIFA World Cup,Washington,USA,True
1994-06-28,Russia,Cameroon,6,1,FIFA World Cup,Palo Alto,USA,True
1994-06-29,Belgium,Saudi Arabia,0,1,FIFA World Cup,Washington,USA,True
1994-06-29,Morocco,Netherlands,1,2,FIFA World Cup,Orlando,USA,True
1994-06-30,Argentina,Bulgaria,0,2,FIFA World Cup,Dallas,USA,True
1994-06-30,Greece,Nigeria,0,2,FIFA World Cup,Foxborough,USA,True
1994-07-01,Botswana,Namibia,0,1,Friendly,Gaborone,Botswana,False
1994-07-02,Germany,Belgium,3,2,FIFA World Cup,Chicago,USA,True
1994-07-02,Spain,Switzerland,3,0,FIFA World Cup,Washington,USA,True
1994-07-03,Papua New Guinea,New Caledonia,1,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-03,Romania,Argentina,3,2,FIFA World Cup,Pasadena,USA,True
1994-07-03,Saudi Arabia,Sweden,1,3,FIFA World Cup,Dallas,USA,True
1994-07-04,Fiji,New Caledonia,3,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-04,Netherlands,Ireland,2,0,FIFA World Cup,Orlando,USA,True
1994-07-04,USA,Brazil,0,1,FIFA World Cup,Palo Alto,USA,False
1994-07-05,Mexico,Bulgaria,1,1,FIFA World Cup,East Rutherford,USA,True
1994-07-05,Nigeria,Italy,1,2,FIFA World Cup,Foxborough,USA,True
1994-07-05,Solomon Islands,Papua New Guinea,2,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-05,Vanuatu,New Caledonia,2,3,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-06,Papua New Guinea,Fiji,0,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-06,Solomon Islands,Vanuatu,4,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-07,Solomon Islands,Fiji,1,0,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-07,Vanuatu,Papua New Guinea,1,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-08,Japan,Ghana,3,2,Friendly,Nagoya,Japan,False
1994-07-08,Solomon Islands,New Caledonia,3,1,Oceania Nations Cup qualification,Honiara,Solomon Islands,False
1994-07-08,Vanuatu,Fiji,2,4,Oceania Nations Cup qualification,Honiara,Solomon Islands,True
1994-07-09,Italy,Spain,2,1,FIFA World Cup,Foxborough,USA,True
1994-07-09,Netherlands,Brazil,2,3,FIFA World Cup,Dallas,USA,True
1994-07-10,Bulgaria,Germany,2,1,FIFA World Cup,East Rutherford,USA,True
1994-07-10,Romania,Sweden,2,2,FIFA World Cup,Palo Alto,USA,True
1994-07-13,Bulgaria,Italy,1,2,FIFA World Cup,East Rutherford,USA,True
1994-07-13,Sweden,Brazil,0,1,FIFA World Cup,Pasadena,USA,True
1994-07-14,Japan,Ghana,2,1,Friendly,Kobe,Japan,False
1994-07-16,Armenia,Malta,1,0,Friendly,Yerevan,Armenia,False
1994-07-16,Sweden,Bulgaria,4,0,FIFA World Cup,Pasadena,USA,True
1994-07-17,Brazil,Italy,0,0,FIFA World Cup,Pasadena,USA,True
