date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1998-07-15,Ukraine,Poland,1,2,Friendly,Kyïv,Ukraine,False
1998-07-18,Malawi,Zimbabwe,1,0,Friendly,Blantyre,Malawi,False
1998-07-18,Uganda,Kenya,3,3,Friendly,Kampala,Uganda,False
1998-07-20,Lebanon,Palestine,3,1,UAFA Cup,Beirut,Lebanon,False
1998-07-20,Malawi,Zimbabwe,0,0,Friendly,Lilongwe,Malawi,False
1998-07-20,Syria,Jordan,3,0,UAFA Cup,Beirut,Lebanon,True
1998-07-22,Curaçao,Haiti,0,4,CFU Caribbean Cup,Kingston,Jamaica,True
1998-07-22,Jamaica,Cayman Islands,4,0,CFU Caribbean Cup,Kingston,Jamaica,False
1998-07-22,Martinique,Dominica,5,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
1998-07-22,Senegal,Cape Verde,1,0,Friendly,Dakar,Senegal,False
1998-07-22,Trinidad and Tobago,Antigua and Barbuda,3,2,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
1998-07-23,Lebanon,Jordan,0,2,UAFA Cup,Beirut,Lebanon,False
1998-07-23,Palestine,Syria,1,2,UAFA Cup,Beirut,Lebanon,True
1998-07-24,Antigua and Barbuda,Dominica,2,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
1998-07-24,Burkina Faso,Niger,1,0,Friendly,Ouagadougou,Burkina Faso,False
1998-07-24,Cayman Islands,Haiti,0,1,CFU Caribbean Cup,Kingston,Jamaica,True
1998-07-24,Jamaica,Curaçao,3,2,CFU Caribbean Cup,Kingston,Jamaica,False
1998-07-24,Trinidad and Tobago,Martinique,2,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
1998-07-25,Benin,Ghana,0,1,Friendly,Cotonou,Benin,False
1998-07-26,Antigua and Barbuda,Martinique,5,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
1998-07-26,Curaçao,Cayman Islands,0,2,CFU Caribbean Cup,Kingston,Jamaica,True
1998-07-26,Jamaica,Haiti,2,1,CFU Caribbean Cup,Kingston,Jamaica,False
1998-07-26,Jordan,Palestine,1,1,UAFA Cup,Beirut,Lebanon,True
1998-07-26,Lebanon,Syria,0,1,UAFA Cup,Beirut,Lebanon,False
1998-07-26,Niger,Ivory Coast,1,0,Friendly,Niamey,Niger,False
1998-07-26,Senegal,Mali,3,1,Friendly,Dakar,Senegal,False
1998-07-26,Trinidad and Tobago,Dominica,8,0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
1998-07-29,Jamaica,Antigua and Barbuda,1,0,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
1998-07-29,Trinidad and Tobago,Haiti,4,1,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
1998-07-30,Guam,Northern Mariana Islands,2,1,Friendly,Koror,Palau,True
1998-07-31,Antigua and Barbuda,Haiti,2,3,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,True
1998-07-31,Kenya,Djibouti,3,0,African Cup of Nations qualification,Nairobi,Kenya,False
1998-07-31,Libya,Algeria,0,2,African Cup of Nations qualification,Tripoli,Libya,False
1998-07-31,Trinidad and Tobago,Jamaica,1,2,CFU Caribbean Cup,Port of Spain,Trinidad and Tobago,False
1998-08-01,Namibia,Malawi,2,1,African Cup of Nations qualification,Windhoek,Namibia,False
1998-08-01,Palau,Guam,2,15,Friendly,Koror,Palau,False
1998-08-01,Uganda,Rwanda,5,0,African Cup of Nations qualification,Kampala,Uganda,False
1998-08-02,Botswana,Mozambique,0,0,African Cup of Nations qualification,Gaborone,Botswana,False
1998-08-02,Burundi,Tanzania,1,0,African Cup of Nations qualification,Bujumbura,Burundi,False
1998-08-02,Chad,Congo,1,1,African Cup of Nations qualification,N'Djamena,Chad,False
1998-08-02,Equatorial Guinea,Gabon,0,2,African Cup of Nations qualification,Bata,Equatorial Guinea,False
1998-08-02,Lesotho,Mauritius,1,1,African Cup of Nations qualification,Maseru,Lesotho,False
1998-08-02,Mali,Cape Verde,3,0,African Cup of Nations qualification,Bamako,Mali,False
1998-08-02,Niger,Liberia,2,1,African Cup of Nations qualification,Niamey,Niger,False
1998-08-02,São Tomé and Príncipe,Togo,0,4,African Cup of Nations qualification,Libreville,Gabon,True
1998-08-02,Swaziland,Madagascar,1,2,African Cup of Nations qualification,Mbabane,Swaziland,False
1998-08-03,Guam,Northern Mariana Islands,0,3,Friendly,Koror,Palau,True
1998-08-08,Zambia,Namibia,1,1,COSAFA Cup,Lusaka,Zambia,False
1998-08-09,Benin,Niger,1,1,Friendly,Cotonou,Benin,False
1998-08-12,Azerbaijan,Georgia,1,0,Friendly,Gəncə,Azerbaijan,False
1998-08-14,Algeria,Libya,3,0,African Cup of Nations qualification,Algiers,Algeria,False
