date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1974-07-08,Malawi,Zambia,0,1,Friendly,Lilongwe,Malawi,False
1974-07-10,China,Yemen DPR,6,5,Friendly,Beijing,China,False
1974-07-14,Nigeria,Ivory Coast,2,0,Friendly,Lagos,Nigeria,False
1974-07-24,Hong Kong,Indonesia,2,2,Merdeka Tournament,Ipoh,Malaysia,True
1974-07-24,India,Thailand,4,2,Merdeka Tournament,Ipoh,Malaysia,True
1974-07-25,Malaysia,India,4,1,Merdeka Tournament,Ipoh,Malaysia,False
1974-07-26,Indonesia,Thailand,1,2,Merdeka Tournament,Ipoh,Malaysia,True
1974-07-28,Indonesia,Singapore,5,0,Merdeka Tournament,Ipoh,Malaysia,True
1974-07-29,Hong Kong,India,2,2,Merdeka Tournament,Ipoh,Malaysia,True
1974-07-30,Singapore,Thailand,1,1,Merdeka Tournament,Ipoh,Malaysia,True
1974-08-01,India,Indonesia,0,0,Merdeka Tournament,Ipoh,Malaysia,True
1974-08-01,Malaysia,Thailand,3,2,Merdeka Tournament,Ipoh,Malaysia,False
1974-08-04,Hong Kong,Thailand,1,0,Merdeka Tournament,Ipoh,Malaysia,True
1974-08-07,Singapore,Hong Kong,0,1,Friendly,Kallang,Singapore,False
1974-08-08,Sweden,Norway,2,1,Nordic Championship,Gothenburg,Sweden,False
1974-08-10,Somalia,Burundi,0,2,African Cup of Nations qualification,Mogadishu,Somalia,False
1974-08-11,China,Senegal,5,2,Friendly,Beijing,China,False
1974-08-11,Nigeria,Ghana,1,1,Friendly,Lagos,Nigeria,False
1974-08-14,Iraq,Bahrain,4,0,Friendly,Baghdad,Iraq,False
1974-08-15,Norway,Finland,1,2,Nordic Championship,Oslo,Norway,False
1974-08-17,Nigeria,Ghana,0,1,Friendly,Lagos,Nigeria,False
1974-08-19,Iceland,Finland,2,2,Friendly,Reykjavík,Iceland,False
1974-08-24,Burundi,Somalia,0,1,African Cup of Nations qualification,Bujumbura,Burundi,False
1974-08-24,Malta,Libya,0,1,Friendly,Gżira,Malta,False
1974-08-30,Haiti,Jamaica,0,1,Friendly,New York,USA,True
1974-08-31,Jamaica,Trinidad and Tobago,2,1,Friendly,New York,USA,True
1974-09-01,Finland,Poland,1,2,UEFA Euro qualification,Helsinki,Finland,False
1974-09-03,Denmark,Indonesia,9,0,Friendly,Copenhagen,Denmark,False
1974-09-04,Austria,Wales,2,1,UEFA Euro qualification,Vienna,Austria,False
1974-09-04,Libya,Malta,0,0,Friendly,Tripoli,Libya,False
1974-09-04,Norway,Northern Ireland,2,1,UEFA Euro qualification,Oslo,Norway,False
1974-09-04,Poland,German DR,1,3,Friendly,Warsaw,Poland,False
1974-09-04,Sweden,Netherlands,1,5,Friendly,Solna,Sweden,False
1974-09-04,Switzerland,Germany,1,2,Friendly,Basel,Switzerland,False
1974-09-05,Mexico,USA,3,1,Friendly,Monterrey,Mexico,False
1974-09-06,Libya,Congo DR,0,2,Friendly,Tripoli,Libya,False
1974-09-07,Poland,France,0,2,Friendly,Wrocław,Poland,False
1974-09-08,Iceland,Belgium,0,2,UEFA Euro qualification,Reykjavík,Iceland,False
1974-09-08,USA,Mexico,0,1,Friendly,Dallas,USA,False
1974-09-10,Libya,Somalia,3,2,Friendly,Tripoli,Libya,False
1974-09-11,Ivory Coast,Ghana,1,1,Friendly,Abidjan,Ivory Coast,False
1974-09-13,Libya,Somalia,3,2,Friendly,Tripoli,Libya,False
1974-09-25,Bulgaria,Romania,0,0,Friendly,Sofia,Bulgaria,False
1974-09-25,Czechoslovakia,German DR,3,1,Friendly,Prague,Czechoslovakia,False
1974-09-25,Denmark,Spain,1,2,UEFA Euro qualification,Copenhagen,Denmark,False
1974-09-25,Finland,Netherlands,1,3,UEFA Euro qualification,Helsinki,Finland,False
1974-09-26,Syria,Palestine,2,0,Friendly,Damascus,Syria,False
1974-09-27,Algeria,Lebanon,4,1,Friendly,Damascus,Syria,True
1974-09-28,Austria,Hungary,1,0,Friendly,Vienna,Austria,False
1974-09-28,Japan,Korea Republic,4,1,Friendly,Tokyo,Japan,False
1974-09-28,Yemen,Sudan,0,6,Friendly,Damascus,Syria,True
1974-09-28,Yugoslavia,Italy,1,0,Friendly,Zagreb,Yugoslavia,False
1974-09-29,Algeria,Jordan,6,0,Friendly,Damascus,Syria,True
1974-09-30,Libya,Yemen,9,1,Friendly,Damascus,Syria,True
1974-09-30,Palestine,Sudan,1,3,Friendly,Damascus,Syria,True
1974-10-01,Morocco,Tunisia,3,1,Friendly,Damascus,Syria,True
1974-10-02,Libya,Palestine,0,0,Friendly,Damascus,Syria,True
1974-10-03,Algeria,Tunisia,0,1,Friendly,Damascus,Syria,True
1974-10-04,Libya,Sudan,1,3,Friendly,Damascus,Syria,True
1974-10-04,Syria,Yemen,6,0,Friendly,Damascus,Syria,False
1974-10-06,Palestine,Yemen,7,1,Friendly,Damascus,Syria,True
1974-10-07,Morocco,Sudan,2,0,Friendly,Damascus,Syria,True
1974-10-09,Denmark,Iceland,2,1,Friendly,Aalborg,Denmark,False
1974-10-09,German DR,Canada,2,0,Friendly,Frankfurt an der Oder,German DR,False
1974-10-09,Netherlands,Switzerland,1,0,Friendly,Rotterdam,Netherlands,False
1974-10-09,Poland,Finland,3,0,UEFA Euro qualification,Poznań,Poland,False
1974-10-09,Sudan,Tunisia,1,3,Friendly,Damascus,Syria,True
1974-10-09,Syria,Morocco,1,1,Friendly,Damascus,Syria,False
1974-10-12,Argentina,Spain,1,1,Friendly,Buenos Aires,Argentina,False
1974-10-12,Belgium,France,2,1,UEFA Euro qualification,Brussels,Belgium,False
1974-10-12,German DR,Iceland,1,1,UEFA Euro qualification,Magdeburg,German DR,False
1974-10-13,Bulgaria,Greece,3,3,UEFA Euro qualification,Sofia,Bulgaria,False
